Tanggal,Rata-rata Harga
2023/09/28,Rp 15.691
2023/09/29,Rp 14.888
2023/09/30,Rp 14.888
2023/10/02,Rp 14.854
2023/10/03,Rp 14.875
2023/10/04,Rp 14.888
2023/10/05,Rp 14.904
2023/10/06,Rp 14.904
2023/10/07,Rp 14.904
2023/10/08,Rp 14.904
2023/10/09,Rp 14.908
2023/10/10,Rp 14.929
2023/10/11,Rp 14.886
2023/10/12,Rp 14.891
2023/10/13,Rp 14.877
2023/10/14,Rp 14.877
2023/10/15,Rp 14.877
2023/10/16,Rp 14.923
2023/10/17,Rp 14.927
2023/10/18,Rp 14.959
2023/10/19,Rp 14.973
2023/10/20,Rp 14.968
2023/10/21,Rp 14.968
2023/10/22,Rp 14.968
2023/10/23,Rp 15.005
2023/10/24,Rp 15.009
2023/10/25,Rp 15.009
2023/10/26,Rp 15.014
2023/10/27,Rp 15.000
2023/10/28,Rp 15.000
2023/10/29,Rp 15.000
2023/10/30,Rp 15.005
2023/10/31,Rp 15.005
2023/11/01,Rp 14.995
2023/11/02,Rp 14.995
2023/11/03,Rp 15.014
2023/11/06,Rp 13.523
2023/11/07,Rp 15.977
2023/11/08,Rp 15.968
2023/11/09,Rp 15.968
2023/11/10,Rp 15.986
2023/11/11,Rp 15.986
2023/11/12,Rp 15.986
2023/11/13,Rp 15.973
2023/11/14,Rp 15.968
2023/11/15,Rp 15.964
2023/11/16,Rp 15.964
2023/11/17,Rp 15.964
2023/11/18,Rp 15.964
2023/11/19,Rp 15.964
2023/11/20,Rp 15.964
2023/11/21,Rp 15.968
2023/11/22,Rp 15.968
2023/11/23,Rp 15.982
2023/11/24,Rp 15.986
2023/11/27,Rp 13.555
2023/11/28,Rp 15.891
2023/11/29,Rp 16.009
2023/11/30,Rp 15.586
2023/12/02,Rp 15.825
2023/12/03,Rp 15.825
2023/12/04,Rp 15.638
2023/12/05,Rp 15.638
2023/12/06,Rp 16.050
2023/12/07,Rp 15.945
2023/12/08,Rp 16.077
2023/12/09,Rp 16.077
2023/12/10,Rp 16.077
2023/12/11,Rp 16.073
2023/12/12,Rp 16.073
2023/12/13,Rp 15.986
2023/12/14,Rp 15.532
2023/12/15,Rp 15.717
2023/12/16,Rp 15.717
2023/12/17,Rp 15.717
2023/12/18,Rp 15.912
2023/12/19,Rp 15.712
2023/12/20,Rp 15.712
2023/12/21,Rp 15.991
2023/12/22,Rp 15.995
2023/12/23,Rp 15.995
2023/12/24,Rp 15.995
2023/12/25,Rp 13.760
2023/12/26,Rp 13.767
2023/12/27,Rp 13.568
2023/12/28,Rp 16.095
2023/12/29,Rp 15.991
2023/12/30,Rp 15.991
2023/12/31,Rp 15.991
2024/01/01,Rp 15.523
2024/01/02,Rp 14.596
2024/01/03,Rp 14.596
2024/01/04,Rp 14.592
2024/01/05,Rp 14.608
2024/01/06,Rp 14.608
2024/01/07,Rp 14.608
2024/01/08,Rp 14.588
2024/01/09,Rp 14.600
2024/01/10,Rp 14.633
2024/01/11,Rp 14.625
2024/01/12,Rp 14.612
2024/01/13,Rp 14.612
2024/01/14,Rp 14.612
2024/01/15,Rp 14.662
2024/01/16,Rp 14.667
2024/01/17,Rp 14.675
2024/01/18,Rp 14.675
